Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00104529,0.0727634,0,0.111504,5.1044e-06,0.11589,0,1.23285,0.00103825,0.0183175,0,0.0876581,5.0149e-06,, , 0.067788,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00103825,0.000987789,0.0134848,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.0149e-06,0.0585562
2,15.1234,15.1809,11.3422,0.010559,0.500202,0.503902,3.50291,0.00125414,3.68264,3.74015,9.61566,0.0102455,0.174376,0.178076,2.63446,7.79223e-05,, , 0.53017,6.59864,0.293982,15.1163,9.97854,9.61566,0.0102455,0.0155217,0.204339,0.129148,0.0189656,0.00853657,0.640836,2.63446,7.79223e-05,0.920125
3,4.20573,4.23084,7.27523,0.0213924,0.173776,0.175319,2.85432,0.00175684,0.891548,0.916653,6.41706,0.0207653,0.0701336,0.0716763,1.12478,0.000217758,, , 0.230397,1.44982,0.127988,5.23262,3.22804,6.41706,0.0207653,0.0293457,0.0917648,0.0417726,0.00827251,0.00755516,0.204585,1.12478,0.000217758,1.73961
4,6.17991,6.23658,7.76679,0.0403504,0.278447,0.28225,5.61027,0.000556124,1.10591,1.16259,6.41598,0.0390963,0.135937,0.139739,2.15226,0.000131644,, , 0.470765,1.54823,0.249511,8.74862,4.6985,6.41598,0.0390963,0.0584488,0.183122,0.0761984,0.0163561,0.0118465,0.284231,2.15226,0.000131644,3.46485
5,1.53127,1.55213,7.03773,0.0851548,0.0879878,0.0892981,7.68312,0.000994833,0.27557,0.296427,5.50191,0.0826465,0.0484318,0.0497421,0.769287,0.000467869,, , 0.17324,0.307138,0.0916197,6.2831,1.66101,5.50191,0.0826465,0.116473,0.0681267,0.024022,0.00602518,0.017688,0.0855392,0.769287,0.000467869,6.90454
6,2.44537,2.4894,8.43985,0.166963,0.150748,0.153701,15.3304,0.00117603,0.448642,0.49267,5.50247,0.161946,0.0967395,0.0996924,1.50307,0.00105784,, , 0.350794,0.409594,0.180924,11.9572,2.76803,5.50247,0.161946,0.232886,0.137687,0.0467762,0.0119685,0.0313899,0.125166,1.50307,0.00105784,13.8055
7,0.470092,0.471234,9.57548,0.318306,0.0297308,0.0300672,49.3609,0.000263837,0.385854,0.386996,0.0129836,0.30122,0.0164051,0.0167415,0.198186,4.66123e-05,, , 0.0100668,0.757676,0.00510665,12.0326,0.287717,0.0129836,0.30122,0.827824,0.0136389,0.0183357,0.00117196,0.107445,0.0520212,0.198186,4.66123e-05,49.0734
8,0.0286234,0.0287599,0.0180398,0.000514593,0.000539252,0.000545358,0.0602466,3.24539e-07,0.00198742,0.00212393,0.00206887,0.000493738,8.73993e-05,9.35051e-05,0.000227484,5.9372e-08,, , 0.00127763,0.00218914,0.000644581,0.0803593,0.0212412,0.00206887,0.000493738,0.00101147,7.36924e-05,8.89254e-05,1.82865e-05,0.000321226,0.00074128,0.000227484,5.9372e-08,0.0599602
Total,37.9457,30.1898,53.2728,0.644285,1.29419,1.23508,84.5137,0.00600723,6.90805,6.99761,34.701,0.617452,0.560428,0.555762,8.46993,0.00200472,, , 1.8345,11.0806,0.990543,66.3248,24.21,34.701,0.617452,1.2825,0.712237,0.339823,0.0641294,0.186405,1.4432,8.46993,0.00200472,76.0265

