Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00103279,0.0727619,0,0.111504,6.81343e-06,0.11588,0,1.23285,0.00102575,0.018316,0,0.0876581,6.72393e-06,, , 0.0677779,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134833,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.72393e-06,0.0585562
2,15.1234,15.1809,11.3421,0.0104054,0.500629,0.504392,3.47522,0.000942656,3.68264,3.74014,9.61554,0.0100919,0.174803,0.178566,2.60678,5.84543e-05,, , 0.530164,6.59864,0.293982,15.1163,9.97854,9.61554,0.0100919,0.0155217,0.205269,0.129148,0.0189526,0.00853657,0.640836,2.60678,5.84543e-05,0.920125
3,4.20572,4.23083,7.27516,0.0209113,0.173416,0.174976,2.85431,0.000880538,0.891534,0.916639,6.41699,0.0202843,0.0697735,0.0713335,1.12478,0.00010822,, , 0.230369,1.44982,0.127988,5.23262,3.22804,6.41699,0.0202843,0.0293457,0.0910655,0.0417726,0.00826893,0.00755516,0.204585,1.12478,0.00010822,1.73961
4,6.1786,6.23528,7.76723,0.0423752,0.277909,0.281497,5.63443,0.00113068,1.10461,1.16129,6.41641,0.0411211,0.135398,0.138987,2.17641,0.000275282,, , 0.468163,1.54823,0.249511,8.74862,4.6985,6.41641,0.0411211,0.0584488,0.181787,0.0761984,0.0164003,0.0118465,0.284231,2.17641,0.000275282,3.46485
5,1.53058,1.55144,7.03789,0.0835911,0.087964,0.0892344,7.69199,0.0012506,0.274877,0.295734,5.50207,0.0810828,0.0484081,0.0496785,0.778158,0.000595751,, , 0.171853,0.307138,0.0916197,6.2831,1.66101,5.50207,0.0810828,0.116473,0.0680311,0.024022,0.00603344,0.017688,0.0855392,0.778158,0.000595751,6.90454
6,2.44473,2.48876,8.4402,0.140316,0.150486,0.153263,15.3482,0.000222283,0.448,0.492028,5.50283,0.135299,0.096477,0.0992543,1.52082,0.000104094,, , 0.349509,0.409594,0.180924,11.9572,2.76803,5.50283,0.135299,0.232886,0.13695,0.0467762,0.0120048,0.0313899,0.125166,1.52082,0.000104094,13.8055
7,0.470094,0.471236,9.57549,0.232017,0.029745,0.0300785,49.3627,0.000243975,0.385856,0.386998,0.0129953,0.214931,0.0164193,0.0167528,0.199938,2.67506e-05,, , 0.0100718,0.757676,0.00510665,12.0326,0.287717,0.0129953,0.214931,0.827824,0.0136639,0.0183357,0.00117256,0.107445,0.0520212,0.199938,2.67506e-05,49.0734
8,0.0286155,0.028752,0.0180546,0.00107993,0.000539301,0.00054535,0.0602466,3.86101e-07,0.00197952,0.00211602,0.0020837,0.00105908,8.74481e-05,9.34966e-05,0.000227484,1.20934e-07,, , 0.00126183,0.00218914,0.000644581,0.0803593,0.0212412,0.0020837,0.00105908,0.00101147,7.37209e-05,8.89254e-05,1.82984e-05,0.000321226,0.00074128,0.000227484,1.20934e-07,0.0599602
Total,37.943,30.1871,53.2736,0.531729,1.29345,1.23399,84.5386,0.00467792,6.90538,6.99495,34.7018,0.504895,0.559683,0.554666,8.49478,0.0011754,, , 1.82917,11.0806,0.990543,66.3248,24.21,34.7018,0.504895,1.2825,0.710323,0.339823,0.0642022,0.186405,1.4432,8.49478,0.0011754,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11766,0.00820106,1.51245,19.19,0.0203637,3.7555
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
