Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.0727667,0,0.111504,5.43896e-06,0.115902,0,1.23285,0.0010195,0.0183208,0,0.0876581,5.34946e-06,, , 0.0678,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134881,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34946e-06,0.0585562
2,15.1237,15.1812,11.3419,0.00964971,0.500952,0.504812,3.47521,0.000377532,3.68297,3.74047,9.61534,0.00933619,0.175126,0.178987,2.60676,2.31341e-05,, , 0.53082,6.59864,0.293982,15.1163,9.97854,9.61534,0.00933619,0.0155217,0.206033,0.129148,0.0189325,0.00853657,0.640836,2.60676,2.31341e-05,0.920125
3,4.20603,4.23114,7.2748,0.0205076,0.171908,0.173557,2.84224,0.000810093,0.891845,0.916949,6.41663,0.0198806,0.0682656,0.0699144,1.11271,9.94149e-05,, , 0.23099,1.44982,0.127988,5.23262,3.22804,6.41663,0.0198806,0.0293457,0.0881568,0.0417726,0.00825056,0.00755516,0.204585,1.11271,9.94149e-05,1.73961
4,6.17744,6.23411,7.76754,0.0410799,0.275027,0.278459,5.65857,0.00102319,1.10345,1.16012,6.41673,0.0398258,0.132516,0.135949,2.20056,0.000248411,, , 0.465828,1.54823,0.249511,8.74862,4.6985,6.41673,0.0398258,0.0584488,0.175834,0.0761984,0.0164326,0.0118465,0.284231,2.20056,0.000248411,3.46485
5,1.52915,1.55001,7.03919,0.074234,0.0880037,0.0889516,7.72748,0.000443576,0.273446,0.294303,5.50337,0.0717257,0.0484478,0.0493957,0.813641,0.000192241,, , 0.168991,0.307138,0.0916197,6.2831,1.66101,5.50337,0.0717257,0.116473,0.0677213,0.024022,0.00610014,0.017688,0.0855392,0.813641,0.000192241,6.90454
6,2.44277,2.4868,8.44045,0.124184,0.150368,0.15302,15.366,0.000190041,0.446042,0.49007,5.50308,0.119167,0.0963589,0.0990109,1.53857,7.18516e-05,, , 0.345593,0.409594,0.180924,11.9572,2.76803,5.50308,0.119167,0.232886,0.136563,0.0467762,0.0120307,0.0313899,0.125166,1.53857,7.18516e-05,13.8055
7,0.470098,0.47124,9.57559,0.23165,0.029733,0.0300415,49.3679,0.000246251,0.38586,0.387002,0.0130967,0.214564,0.0164073,0.0167158,0.205195,2.90261e-05,, , 0.01008,0.757676,0.00510665,12.0326,0.287717,0.0130967,0.214564,0.827824,0.0136097,0.0183357,0.00117774,0.107445,0.0520212,0.205195,2.90261e-05,49.0734
8,0.0286178,0.0287543,0.0180711,0.000810351,0.000539314,0.000545299,0.0602488,3.68413e-07,0.00198177,0.00211827,0.00210017,0.000789496,8.74613e-05,9.34462e-05,0.000229628,1.03246e-07,, , 0.00126633,0.00218914,0.000644581,0.0803593,0.0212412,0.00210017,0.000789496,0.00101147,7.36705e-05,8.89254e-05,1.83115e-05,0.000321226,0.00074128,0.000229628,1.03246e-07,0.0599602
Total,37.9391,30.1832,53.275,0.503142,1.2893,1.22939,84.6091,0.00309649,6.90149,6.99103,34.7032,0.476308,0.55553,0.550066,8.56533,0.000669531,, , 1.82137,11.0806,0.990543,66.3248,24.21,34.7032,0.476308,1.2825,0.701479,0.339823,0.0642939,0.186405,1.4432,8.56533,0.000669531,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11619,0.00820341,1.51288,19.0684,0.0203782,3.75818
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.0727667,0,0.111504,5.43896e-06,0.115902,0,1.23285,0.0010195,0.0183208,0,0.0876581,5.34946e-06,, , 0.0678,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134881,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34946e-06,0.0585562
2,15.1237,15.1812,11.3419,0.00964971,0.500952,0.504812,3.47521,0.000377532,3.68297,3.74047,9.61534,0.00933619,0.175126,0.178987,2.60676,2.31341e-05,, , 0.53082,6.59864,0.293982,15.1163,9.97854,9.61534,0.00933619,0.0155217,0.206033,0.129148,0.0189325,0.00853657,0.640836,2.60676,2.31341e-05,0.920125
3,4.20603,4.23114,7.2748,0.0205076,0.171908,0.173557,2.84224,0.000810093,0.891845,0.916949,6.41663,0.0198806,0.0682656,0.0699144,1.11271,9.94149e-05,, , 0.23099,1.44982,0.127988,5.23262,3.22804,6.41663,0.0198806,0.0293457,0.0881568,0.0417726,0.00825056,0.00755516,0.204585,1.11271,9.94149e-05,1.73961
4,6.17744,6.23411,7.76754,0.0410799,0.275027,0.278459,5.65857,0.00102319,1.10345,1.16012,6.41673,0.0398258,0.132516,0.135949,2.20056,0.000248411,, , 0.465828,1.54823,0.249511,8.74862,4.6985,6.41673,0.0398258,0.0584488,0.175834,0.0761984,0.0164326,0.0118465,0.284231,2.20056,0.000248411,3.46485
5,1.52915,1.55001,7.03919,0.074234,0.0880037,0.0889516,7.72748,0.000443576,0.273446,0.294303,5.50337,0.0717257,0.0484478,0.0493957,0.813641,0.000192241,, , 0.168991,0.307138,0.0916197,6.2831,1.66101,5.50337,0.0717257,0.116473,0.0677213,0.024022,0.00610014,0.017688,0.0855392,0.813641,0.000192241,6.90454
6,2.44277,2.4868,8.44045,0.124184,0.150368,0.15302,15.366,0.000190041,0.446042,0.49007,5.50308,0.119167,0.0963589,0.0990109,1.53857,7.18516e-05,, , 0.345593,0.409594,0.180924,11.9572,2.76803,5.50308,0.119167,0.232886,0.136563,0.0467762,0.0120307,0.0313899,0.125166,1.53857,7.18516e-05,13.8055
7,0.470098,0.47124,9.57559,0.23165,0.029733,0.0300415,49.3679,0.000246251,0.38586,0.387002,0.0130967,0.214564,0.0164073,0.0167158,0.205195,2.90261e-05,, , 0.01008,0.757676,0.00510665,12.0326,0.287717,0.0130967,0.214564,0.827824,0.0136097,0.0183357,0.00117774,0.107445,0.0520212,0.205195,2.90261e-05,49.0734
8,0.0286178,0.0287543,0.0180711,0.000810351,0.000539314,0.000545299,0.0602488,3.68413e-07,0.00198177,0.00211827,0.00210017,0.000789496,8.74613e-05,9.34462e-05,0.000229628,1.03246e-07,, , 0.00126633,0.00218914,0.000644581,0.0803593,0.0212412,0.00210017,0.000789496,0.00101147,7.36705e-05,8.89254e-05,1.83115e-05,0.000321226,0.00074128,0.000229628,1.03246e-07,0.0599602
Total,37.9391,30.1832,53.275,0.503142,1.2893,1.22939,84.6091,0.00309649,6.90149,6.99103,34.7032,0.476308,0.55553,0.550066,8.56533,0.000669531,, , 1.82137,11.0806,0.990543,66.3248,24.21,34.7032,0.476308,1.2825,0.701479,0.339823,0.0642939,0.186405,1.4432,8.56533,0.000669531,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11619,0.00820341,1.51288,19.0684,0.0203782,3.75818
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102029,0.0727662,0,0.111504,5.40041e-06,0.115899,0,1.23285,0.00101325,0.0183202,0,0.0876581,5.31092e-06,, , 0.0677971,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134875,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.31092e-06,0.0585562
2,15.1238,15.1813,11.3418,0.010115,0.500551,0.504435,3.44753,0.00104392,3.6831,3.74061,9.61529,0.00980152,0.174726,0.178609,2.57908,6.47836e-05,, , 0.531092,6.59864,0.293982,15.1163,9.97854,9.61529,0.00980152,0.0155217,0.20526,0.129148,0.0189277,0.00853657,0.640836,2.57908,6.47836e-05,0.920125
3,4.2069,4.23201,7.27437,0.0188826,0.171979,0.173732,2.81811,0.000362054,0.892718,0.917823,6.41621,0.0182556,0.0683361,0.0700893,1.08858,4.34101e-05,, , 0.232737,1.44982,0.127988,5.23262,3.22804,6.41621,0.0182556,0.0293457,0.0884239,0.0417726,0.00822899,0.00755516,0.204585,1.08858,4.34101e-05,1.73961
4,6.17632,6.233,7.76776,0.0366615,0.273522,0.276849,5.6827,0.00022814,1.10233,1.159,6.41694,0.0354074,0.131012,0.134339,2.22469,4.96481e-05,, , 0.463598,1.54823,0.249511,8.74862,4.6985,6.41694,0.0354074,0.0584488,0.172698,0.0761984,0.0164544,0.0118465,0.284231,2.22469,4.96481e-05,3.46485
5,1.52939,1.55024,7.0389,0.0739369,0.087984,0.0890051,7.71861,0.000462077,0.273684,0.29454,5.50308,0.0714286,0.0484281,0.0494492,0.804773,0.000201491,, , 0.169466,0.307138,0.0916197,6.2831,1.66101,5.50308,0.0714286,0.116473,0.0677702,0.024022,0.00608499,0.017688,0.0855392,0.804773,0.000201491,6.90454
6,2.44346,2.48749,8.44076,0.132123,0.150179,0.15268,15.3837,0.000209477,0.44673,0.490758,5.50339,0.127106,0.0961698,0.0986712,1.55632,9.12876e-05,, , 0.346969,0.409594,0.180924,11.9572,2.76803,5.50339,0.127106,0.232886,0.136003,0.0467762,0.0120619,0.0313899,0.125166,1.55632,9.12876e-05,13.8055
7,0.470121,0.471263,9.57555,0.222108,0.0297673,0.0300854,49.3662,0.000245633,0.385883,0.387025,0.013058,0.205022,0.0164416,0.0167597,0.203443,2.8409e-05,, , 0.0101256,0.757676,0.00510665,12.0326,0.287717,0.013058,0.205022,0.827824,0.0136899,0.0183357,0.00117576,0.107445,0.0520212,0.203443,2.8409e-05,49.0734
8,0.02862,0.0287565,0.0180524,0.000511349,0.000539272,0.000545329,0.0602466,3.27474e-07,0.00198396,0.00212046,0.0020815,0.000490493,8.74186e-05,9.34756e-05,0.000227484,6.23078e-08,, , 0.0012707,0.00218914,0.000644581,0.0803593,0.0212412,0.0020815,0.000490493,0.00101147,7.36721e-05,8.89254e-05,1.82966e-05,0.000321226,0.00074128,0.000227484,6.23078e-08,0.0599602
Total,37.94,30.1841,53.2747,0.495359,1.28729,1.22733,84.5886,0.00255703,6.90233,6.99188,34.7029,0.468525,0.553521,0.548011,8.54477,0.000484403,, , 1.82306,11.0806,0.990543,66.3248,24.21,34.7029,0.468525,1.2825,0.697406,0.339823,0.0643034,0.186405,1.4432,8.54477,0.000484403,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1168,0.00820384,1.51296,19.1174,0.0203809,3.75867
