Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102654,0.0727714,0,0.111504,6.11696e-06,0.115931,0,1.23285,0.0010195,0.0183255,0,0.0876581,6.02747e-06,, , 0.0678288,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134928,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02747e-06,0.0585562
2,15.1233,15.1808,11.3423,0.0107245,0.50137,0.505032,3.50291,0.0011318,3.68262,3.74013,9.61574,0.010411,0.175544,0.179206,2.63447,7.02759e-05,, , 0.530129,6.59864,0.293982,15.1163,9.97854,9.61574,0.010411,0.0155217,0.206628,0.129148,0.0189735,0.00853657,0.640836,2.63447,7.02759e-05,0.920125
3,4.20604,4.23115,7.27509,0.0213927,0.17364,0.175216,2.85431,0.000890864,0.891857,0.916962,6.41692,0.0207657,0.0699972,0.0715735,1.12478,0.000109511,, , 0.231015,1.44982,0.127988,5.23262,3.22804,6.41692,0.0207657,0.0293457,0.0915325,0.0417726,0.00826556,0.00755516,0.204585,1.12478,0.000109511,1.73961
4,6.17889,6.23556,7.76716,0.0369801,0.278146,0.281766,5.63442,0.000218375,1.1049,1.16157,6.41635,0.035726,0.135636,0.139256,2.17641,4.72069e-05,, , 0.468735,1.54823,0.249511,8.74862,4.6985,6.41635,0.035726,0.0584488,0.182299,0.0761984,0.0163938,0.0118465,0.284231,2.17641,4.72069e-05,3.46485
5,1.53022,1.55108,7.03816,0.0743388,0.0879029,0.089106,7.692,0.000291795,0.274515,0.295372,5.50234,0.0718305,0.0483469,0.04955,0.778165,0.00011635,, , 0.171129,0.307138,0.0916197,6.2831,1.66101,5.50234,0.0718305,0.116473,0.0678276,0.024022,0.00604735,0.017688,0.0855392,0.778165,0.00011635,6.90454
6,2.44579,2.48982,8.43998,0.130279,0.150628,0.153513,15.3305,0.00019296,0.44906,0.493087,5.50261,0.125262,0.0966187,0.0995036,1.50307,7.47713e-05,, , 0.351628,0.409594,0.180924,11.9572,2.76803,5.50261,0.125262,0.232886,0.137364,0.0467762,0.0119826,0.0313899,0.125166,1.50307,7.47713e-05,13.8055
7,0.47005,0.471192,9.57557,0.301216,0.0297377,0.030052,49.3662,0.000261338,0.385812,0.386954,0.0130731,0.28413,0.016412,0.0167263,0.203444,4.41136e-05,, , 0.00998315,0.757676,0.00510665,12.0326,0.287717,0.0130731,0.28413,0.827824,0.0136261,0.0183357,0.00117654,0.107445,0.0520212,0.203444,4.41136e-05,49.0734
8,0.0286195,0.028756,0.0180288,0.000646083,0.000539064,0.000545212,0.0602445,3.39366e-07,0.00198343,0.00211994,0.00205789,0.000625228,8.7211e-05,9.33592e-05,0.00022534,7.41997e-08,, , 0.00126966,0.00218914,0.000644581,0.0803593,0.0212412,0.00205789,0.000625228,0.00101147,7.3367e-05,8.89254e-05,1.82778e-05,0.000321226,0.00074128,0.00022534,7.41997e-08,0.0599602
Total,37.9443,30.1884,53.2738,0.576604,1.29473,1.23523,84.552,0.00299359,6.90668,6.9962,34.7019,0.54977,0.560967,0.555908,8.50822,0.000468331,, , 1.83172,11.0806,0.990543,66.3248,24.21,34.7019,0.54977,1.2825,0.712843,0.339823,0.0642089,0.186405,1.4432,8.50822,0.000468331,76.0265

