Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727696,0,0.111504,4.75651e-06,0.11592,0,1.23285,0.0010195,0.0183237,0,0.0876581,4.66701e-06,, , 0.0678178,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013491,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.66701e-06,0.0585562
2,15.1243,15.1818,11.3422,0.0110511,0.50045,0.504136,3.50291,4.65264e-05,3.68356,3.74107,9.61569,0.0107376,0.174625,0.178311,2.63446,2.44622e-06,, , 0.532014,6.59864,0.293982,15.1163,9.97854,9.61569,0.0107376,0.0155217,0.204819,0.129148,0.0189686,0.00853657,0.640836,2.63446,2.44622e-06,0.920125
3,4.20553,4.23063,7.27553,0.0220395,0.17402,0.175489,2.86638,0.000908774,0.891343,0.916448,6.41736,0.0214124,0.0703778,0.071846,1.13685,0.00011175,, , 0.229986,1.44982,0.127988,5.23262,3.22804,6.41736,0.0214124,0.0293457,0.0921633,0.0417726,0.00828792,0.00755516,0.204585,1.13685,0.00011175,1.73961
4,6.18222,6.23889,7.76642,0.0430936,0.279993,0.28398,5.56199,0.000867361,1.10823,1.1649,6.4156,0.0418395,0.137483,0.14147,2.10397,0.000209453,, , 0.475394,1.54823,0.249511,8.74862,4.6985,6.4156,0.0418395,0.0584488,0.186437,0.0761984,0.0163178,0.0118465,0.284231,2.10397,0.000209453,3.46485
5,1.53216,1.55302,7.03717,0.078033,0.0881696,0.0896173,7.66537,0.000406983,0.276461,0.297318,5.50135,0.0755247,0.0486136,0.0500614,0.751535,0.000173944,, , 0.175021,0.307138,0.0916197,6.2831,1.66101,5.50135,0.0755247,0.116473,0.0686562,0.024022,0.00599675,0.017688,0.0855392,0.751535,0.000173944,6.90454
6,2.44751,2.49154,8.43932,0.15496,0.151356,0.15457,15.2949,0.000337571,0.450779,0.494806,5.50195,0.149943,0.0973471,0.100561,1.46754,0.000219382,, , 0.355067,0.409594,0.180924,11.9572,2.76803,5.50195,0.149943,0.232886,0.139217,0.0467762,0.0119145,0.0313899,0.125166,1.46754,0.000219382,13.8055
7,0.470148,0.47129,9.57547,0.284732,0.0297308,0.0300704,49.3609,0.000252033,0.385911,0.387053,0.0129708,0.267646,0.0164051,0.0167447,0.198186,3.48084e-05,, , 0.0101801,0.757676,0.00510665,12.0326,0.287717,0.0129708,0.267646,0.827824,0.0136429,0.0183357,0.0011713,0.107445,0.0520212,0.198186,3.48084e-05,49.0734
8,0.0286229,0.0287594,0.0180546,0.00103761,0.0005393,0.000545349,0.0602466,3.82251e-07,0.00198689,0.0021234,0.0020837,0.00101676,8.74471e-05,9.34956e-05,0.000227484,1.17084e-07,, , 0.00127657,0.00218914,0.000644581,0.0803593,0.0212412,0.0020837,0.00101676,0.00101147,7.3719e-05,8.89254e-05,1.82984e-05,0.000321226,0.00074128,0.000227484,1.17084e-07,0.0599602
Total,37.9518,30.1959,53.2717,0.595973,1.29703,1.23841,84.4242,0.00282439,6.91419,7.00372,34.6999,0.569139,0.563262,0.559088,8.38044,0.000756568,, , 1.84676,11.0806,0.990543,66.3248,24.21,34.6999,0.569139,1.2825,0.718501,0.339823,0.0640265,0.186405,1.4432,8.38044,0.000756568,76.0265

