Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.0727656,0,0.111504,6.4579e-06,0.1159,0,1.23285,0.0010195,0.0183197,0,0.0876581,6.36841e-06,, , 0.0677979,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013487,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.36841e-06,0.0585562
2,15.1245,15.182,11.3421,0.0105314,0.500791,0.504516,3.47523,0.000732296,3.68381,3.74131,9.61561,0.0102179,0.174966,0.17869,2.60678,4.53068e-05,, , 0.532505,6.59864,0.293982,15.1163,9.97854,9.61561,0.0102179,0.0155217,0.205548,0.129148,0.0189606,0.00853657,0.640836,2.60678,4.53068e-05,0.920125
3,4.20573,4.23084,7.2757,0.0205817,0.174126,0.175552,2.86639,0.000677951,0.891547,0.916652,6.41753,0.0199547,0.070483,0.0719096,1.13686,8.28971e-05,, , 0.230394,1.44982,0.127988,5.23262,3.22804,6.41753,0.0199547,0.0293457,0.0923235,0.0417726,0.00829654,0.00755516,0.204585,1.13686,8.28971e-05,1.73961
4,6.18271,6.23938,7.76639,0.0394682,0.280091,0.284094,5.56199,0.000276067,1.10871,1.16539,6.41557,0.0382141,0.137581,0.141584,2.10397,6.163e-05,, , 0.476366,1.54823,0.249511,8.74862,4.6985,6.41557,0.0382141,0.0584488,0.186653,0.0761984,0.0163146,0.0118465,0.284231,2.10397,6.163e-05,3.46485
5,1.53266,1.55352,7.03729,0.0775186,0.0881261,0.0895443,7.67424,0.000442744,0.276961,0.297817,5.50147,0.0750103,0.0485701,0.0499883,0.760408,0.000191825,, , 0.17602,0.307138,0.0916197,6.2831,1.66101,5.50147,0.0750103,0.116473,0.0685336,0.024022,0.00600287,0.017688,0.0855392,0.760408,0.000191825,6.90454
6,2.44744,2.49147,8.43945,0.13982,0.151254,0.154405,15.3127,0.000195469,0.450714,0.494742,5.50207,0.134802,0.097245,0.100396,1.4853,7.72795e-05,, , 0.354938,0.409594,0.180924,11.9572,2.76803,5.50207,0.134802,0.232886,0.138937,0.0467762,0.0119276,0.0313899,0.125166,1.4853,7.72795e-05,13.8055
7,0.470164,0.471306,9.57541,0.273841,0.0298323,0.0301865,49.3574,0.000249808,0.385926,0.387068,0.0129114,0.256755,0.0165065,0.0168608,0.194679,3.25835e-05,, , 0.0102107,0.757676,0.00510665,12.0326,0.287717,0.0129114,0.256755,0.827824,0.0138634,0.0183357,0.00116827,0.107445,0.0520212,0.194679,3.25835e-05,49.0734
8,0.0286203,0.0287568,0.0180743,0.00144179,0.00053931,0.000545282,0.0602488,4.38613e-07,0.0019843,0.0021208,0.00210346,0.00142093,8.74569e-05,9.34291e-05,0.000229628,1.73446e-07,, , 0.00127138,0.00218914,0.000644581,0.0803593,0.0212412,0.00210346,0.00142093,0.00101147,7.36464e-05,8.89254e-05,1.83142e-05,0.000321226,0.00074128,0.000229628,1.73446e-07,0.0599602
Total,37.9532,30.1973,53.272,0.564229,1.29753,1.23884,84.4197,0.00258123,6.91556,7.0051,34.7001,0.537395,0.563759,0.559523,8.37589,0.000498064,, , 1.8495,11.0806,0.990543,66.3248,24.21,34.7001,0.537395,1.2825,0.719418,0.339823,0.06404,0.186405,1.4432,8.37589,0.000498064,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12038,0.00819762,1.51182,19.4135,0.0203425,3.75159
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


