1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.008219,0.002179,0.002123,0.000152,-0.001245,-0.012076,-0.028353,-0.014703,0.511557,0.627106,0.632472,0.639303,0.656415,0.657151,0.699144,0.663965
-0.009161,-0.007833,0.006483,-0.007103,-0.002745,-0.022664,-0.032717,-0.011911,0.456222,0.590268,0.586341,0.601886,0.615724,0.627446,0.691029,0.655547
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.008219,0.002179,0.002123,0.000152,-0.001245,-0.012076,-0.028353,-0.014703,0.511557,0.627106,0.632472,0.639303,0.656415,0.657151,0.699144,0.663965
-0.009161,-0.007833,0.006483,-0.007103,-0.002745,-0.022664,-0.032717,-0.011911,0.456222,0.590268,0.586341,0.601886,0.615724,0.627446,0.691029,0.655547
-0.018764,-0.015015,0.003072,-0.024554,-0.002098,-0.027301,-0.034793,-0.009464,0.439104,0.559213,0.562222,0.581300,0.586118,0.606308,0.685004,0.652133
-0.015231,-0.023320,-0.002374,-0.034824,-0.005362,-0.030439,-0.039046,-0.007813,0.449766,0.544769,0.548507,0.581840,0.567680,0.589649,0.680694,0.647431
-0.020316,-0.023994,-0.003678,-0.046160,-0.006580,-0.032828,-0.042488,-0.005711,0.465914,0.535481,0.536426,0.583250,0.553748,0.577548,0.678728,0.643818
-0.013637,-0.027034,-0.006140,-0.051031,-0.009133,-0.038483,-0.046418,-0.003692,0.465397,0.530755,0.531973,0.582526,0.544120,0.567852,0.681594,0.639606
-0.012512,-0.028761,-0.009266,-0.054122,-0.012236,-0.041258,-0.048860,-0.003718,0.468275,0.528030,0.527305,0.576015,0.538331,0.560237,0.679539,0.636722
-0.010323,-0.034041,-0.010498,-0.056955,-0.013304,-0.045921,-0.054908,-0.001970,0.469857,0.527338,0.525235,0.576869,0.534693,0.555587,0.681256,0.633981
-0.017731,-0.032189,-0.013153,-0.064182,-0.014814,-0.048146,-0.055956,-0.001250,0.467784,0.527120,0.524545,0.573307,0.531289,0.551482,0.681145,0.629365
